Incident_ID,Date,User,Threat_Type,Severity,Status,Country,Device,Source,Response_Time_Minutes
65,2025-05-22,user393,Brute Force,Medium,Investigating,UAE,Laptop,Identity Provider,297
66,2025-05-01,user140,Insider Threat,Low,Open,UK,Desktop,Endpoint,397
67,2025-12-22,user79,Credential Attack,Low,Escalated,Australia,Cloud VM,SIEM,430
68,2025-02-01,user106,Data Exfiltration,Medium,Open,Japan,Mobile,SIEM,11
69,2025-06-30,user153,Data Exfiltration,High,Escalated,Netherlands,Cloud VM,Web Gateway,230
70,2025-09-07,user113,DDoS,Medium,Open,Singapore,Server,Identity Provider,700
71,2026-02-13,user208,Ransomware,High,Closed,Japan,Cloud VM,Email,408
72,2025-10-31,user289,Phishing,Low,Escalated,UK,Mobile,Endpoint,56
73,2025-05-14,user195,Insider Threat,Low,Investigating,Australia,Mobile,Firewall,436
74,2025-05-10,user428,Malware,Medium,Open,Australia,Desktop,Identity Provider,75
75,2026-02-04,user491,Phishing,High,Closed,Germany,Laptop,Web Gateway,161
76,2025-05-03,user65,Brute Force,Medium,Closed,UAE,Server,Firewall,176
77,2025-11-07,user311,Malware,High,Closed,Canada,Laptop,Web Gateway,31
78,2025-06-09,user295,Data Exfiltration,Medium,Closed,USA,Cloud VM,Identity Provider,647
79,2025-05-05,user53,DDoS,High,Open,Japan,Laptop,Firewall,550
80,2025-08-08,user339,Insider Threat,Low,Investigating,India,Mobile,SIEM,113
81,2025-08-10,user492,Insider Threat,Medium,Escalated,UK,Mobile,Endpoint,539
82,2025-11-30,user139,Brute Force,Medium,Investigating,Australia,Desktop,Email,290
83,2025-08-19,user125,Brute Force,Medium,Escalated,Australia,Laptop,SIEM,337
84,2025-04-04,user250,Credential Attack,Medium,Investigating,Australia,Server,Web Gateway,287
85,2025-10-12,user6,Credential Attack,Low,Escalated,UAE,Cloud VM,Endpoint,712
86,2025-09-01,user331,Brute Force,Medium,Open,USA,Server,Endpoint,419
87,2025-12-21,user125,DDoS,Medium,Investigating,UAE,Cloud VM,Web Gateway,357
88,2025-08-06,user382,Insider Threat,Medium,Escalated,Canada,Server,Firewall,241
89,2025-03-03,user370,Credential Attack,Low,Closed,Germany,Desktop,Identity Provider,500
90,2025-05-22,user371,DDoS,Critical,Closed,Canada,Desktop,Firewall,188
91,2025-06-04,user8,Ransomware,Low,Open,Netherlands,Server,Identity Provider,134
92,2025-11-23,user445,Brute Force,Low,Open,Japan,Server,SIEM,495
93,2025-08-14,user175,Ransomware,Critical,Investigating,UAE,Laptop,Email,415
94,2025-09-09,user38,Phishing,Low,Investigating,USA,Desktop,Email,576
95,2026-01-27,user214,Credential Attack,High,Escalated,UAE,Mobile,Firewall,607
96,2025-08-08,user157,Phishing,Medium,Open,Germany,Desktop,Firewall,681
97,2025-02-11,user81,Credential Attack,Low,Open,UK,Laptop,SIEM,466
98,2025-12-19,user305,Brute Force,Low,Closed,Canada,Server,Identity Provider,469
99,2025-02-06,user352,Credential Attack,Critical,Closed,Singapore,Laptop,Web Gateway,235
100,2025-11-28,user77,DDoS,High,Open,India,Desktop,Firewall,614
101,2026-01-19,user423,DDoS,Medium,Escalated,Canada,Mobile,Firewall,517
102,2025-10-04,user253,Brute Force,Low,Open,Singapore,Server,Web Gateway,261
103,2025-01-14,user47,Credential Attack,Critical,Open,Canada,Cloud VM,Email,184
104,2025-08-29,user266,Brute Force,Critical,Closed,Japan,Mobile,Identity Provider,508
105,2025-02-16,user241,Insider Threat,Medium,Investigating,USA,Desktop,Firewall,426
106,2025-12-22,user254,DDoS,Medium,Escalated,Netherlands,Laptop,SIEM,95
107,2025-06-11,user130,Insider Threat,Low,Escalated,Netherlands,Laptop,Identity Provider,560
108,2025-08-25,user212,Phishing,Low,Investigating,Japan,Mobile,Identity Provider,457
109,2026-01-25,user27,Credential Attack,Low,Closed,Canada,Mobile,Identity Provider,501
110,2025-03-04,user15,Credential Attack,High,Investigating,Netherlands,Laptop,Web Gateway,422
111,2025-02-17,user116,Malware,Medium,Open,UK,Mobile,Identity Provider,303
112,2025-09-18,user362,DDoS,Medium,Escalated,UAE,Desktop,SIEM,569
113,2025-03-16,user197,Credential Attack,Critical,Closed,USA,Server,SIEM,353
114,2026-02-08,user260,DDoS,High,Investigating,Canada,Cloud VM,Web Gateway,680
115,2025-09-08,user444,Ransomware,Medium,Escalated,Australia,Server,Web Gateway,561
116,2025-07-13,user234,Insider Threat,High,Closed,Japan,Mobile,Endpoint,425
117,2025-01-23,user163,Brute Force,High,Escalated,Singapore,Desktop,SIEM,42
118,2025-03-06,user258,Insider Threat,High,Escalated,USA,Cloud VM,SIEM,20
119,2026-01-05,user74,Data Exfiltration,High,Closed,USA,Mobile,Firewall,351
120,2025-11-16,user355,Data Exfiltration,Medium,Investigating,Netherlands,Mobile,Firewall,646
121,2026-01-03,user455,Brute Force,High,Open,Japan,Laptop,Endpoint,651
122,2025-12-17,user472,DDoS,Critical,Open,Singapore,Laptop,Identity Provider,107
123,2025-08-16,user86,DDoS,Critical,Open,Australia,Laptop,Firewall,372
124,2025-07-11,user221,Ransomware,Low,Escalated,Japan,Desktop,Endpoint,184
125,2025-02-10,user313,Data Exfiltration,Medium,Closed,UAE,Cloud VM,Endpoint,242
126,2025-08-25,user327,DDoS,Medium,Open,UAE,Server,Identity Provider,564
127,2025-03-22,user38,Brute Force,Critical,Investigating,Singapore,Server,SIEM,314
128,2025-04-12,user197,Brute Force,Low,Escalated,Japan,Server,Web Gateway,307
129,2025-12-25,user152,Phishing,Critical,Escalated,Canada,Laptop,Web Gateway,707
130,2026-02-03,user382,Phishing,Critical,Escalated,Canada,Desktop,Web Gateway,365
131,2025-04-23,user326,Credential Attack,Medium,Closed,USA,Laptop,Firewall,456
132,2025-01-18,user297,Insider Threat,High,Open,Canada,Server,Identity Provider,430
133,2025-03-31,user103,Ransomware,High,Investigating,Netherlands,Cloud VM,Firewall,173
134,2025-05-12,user468,Brute Force,Critical,Investigating,Australia,Laptop,SIEM,82
135,2025-03-14,user387,Credential Attack,High,Escalated,Netherlands,Server,Email,409
136,2025-01-08,user136,Malware,Medium,Investigating,Japan,Mobile,Identity Provider,385
137,2025-02-25,user346,Credential Attack,Medium,Investigating,Japan,Desktop,Identity Provider,69
138,2025-11-22,user422,Brute Force,Critical,Investigating,Singapore,Laptop,Endpoint,51
139,2025-01-20,user156,Brute Force,Low,Closed,Netherlands,Desktop,SIEM,469
140,2025-07-09,user344,Data Exfiltration,Medium,Closed,Singapore,Laptop,SIEM,635
141,2025-07-28,user481,DDoS,Low,Investigating,Germany,Mobile,SIEM,246
142,2025-07-05,user51,Insider Threat,Medium,Investigating,India,Mobile,Firewall,199
143,2025-03-04,user486,Brute Force,Low,Closed,Japan,Laptop,Email,346
144,2025-05-05,user65,Credential Attack,Low,Closed,Japan,Desktop,Endpoint,341
145,2026-02-01,user76,Phishing,Low,Closed,UK,Cloud VM,Firewall,183
146,2025-02-26,user339,Phishing,Low,Investigating,Germany,Cloud VM,Firewall,21
147,2025-03-31,user136,Phishing,Low,Escalated,Netherlands,Laptop,Identity Provider,70
148,2025-09-01,user230,Insider Threat,Medium,Open,UAE,Cloud VM,Endpoint,634
149,2025-01-23,user373,DDoS,Medium,Open,India,Mobile,SIEM,441
150,2025-12-18,user56,Brute Force,High,Escalated,USA,Laptop,Firewall,627
151,2025-03-17,user34,Ransomware,Low,Investigating,Singapore,Cloud VM,Web Gateway,306
152,2025-08-21,user259,Data Exfiltration,Low,Open,Netherlands,Desktop,SIEM,467
153,2025-04-27,user212,Insider Threat,High,Escalated,Singapore,Laptop,Firewall,442
154,2025-06-10,user341,DDoS,Medium,Closed,UAE,Laptop,Email,92
155,2025-02-17,user222,Malware,High,Investigating,UK,Cloud VM,Email,605
156,2025-10-15,user288,Insider Threat,Medium,Escalated,Australia,Mobile,Identity Provider,57
157,2025-05-28,user308,DDoS,Medium,Closed,UK,Mobile,Endpoint,115
158,2025-06-29,user433,Insider Threat,Low,Investigating,Japan,Desktop,SIEM,579
159,2026-01-28,user420,Phishing,Medium,Investigating,India,Desktop,Firewall,321
160,2025-06-23,user180,Phishing,Low,Closed,Japan,Mobile,Email,150
161,2026-01-15,user325,Phishing,Low,Closed,Singapore,Mobile,SIEM,354
162,2025-03-22,user190,DDoS,High,Open,India,Desktop,Endpoint,637
163,2025-01-26,user346,Malware,Low,Escalated,UAE,Cloud VM,SIEM,429
164,2025-05-20,user111,Malware,Low,Open,Canada,Cloud VM,SIEM,544
165,2025-12-08,user158,Phishing,Low,Open,India,Desktop,Firewall,221
166,2026-01-28,user71,DDoS,Low,Open,India,Mobile,Identity Provider,445
167,2025-03-31,user67,Data Exfiltration,Medium,Closed,Netherlands,Cloud VM,Identity Provider,367
168,2025-02-06,user204,Phishing,Medium,Escalated,USA,Server,Web Gateway,444
169,2025-10-21,user208,Data Exfiltration,Low,Escalated,India,Server,Endpoint,637
170,2025-08-24,user426,Insider Threat,Low,Open,Germany,Mobile,Web Gateway,415
171,2025-09-26,user41,Data Exfiltration,High,Investigating,Germany,Server,Endpoint,83
172,2025-09-19,user325,Malware,Medium,Closed,Australia,Server,Identity Provider,665
173,2026-02-22,user76,Credential Attack,Low,Investigating,Germany,Desktop,Web Gateway,161
174,2026-01-25,user389,Malware,Low,Escalated,UAE,Cloud VM,Web Gateway,464
175,2025-12-15,user474,Insider Threat,High,Investigating,UK,Mobile,Email,485
176,2025-08-15,user324,DDoS,High,Open,Australia,Cloud VM,Email,322
177,2025-08-25,user232,Phishing,Low,Investigating,USA,Laptop,Web Gateway,613
178,2025-09-17,user197,Brute Force,Medium,Open,UAE,Cloud VM,Identity Provider,197
179,2025-06-14,user310,Brute Force,Medium,Open,UAE,Laptop,Firewall,91
180,2025-09-16,user331,Ransomware,Low,Escalated,UAE,Cloud VM,Web Gateway,629
181,2025-03-23,user187,Insider Threat,Critical,Escalated,Singapore,Server,Identity Provider,617
182,2025-01-27,user405,Insider Threat,Low,Open,Netherlands,Mobile,Firewall,263
183,2026-01-06,user437,Ransomware,Low,Closed,Australia,Server,Identity Provider,720
184,2025-12-06,user201,Ransomware,Medium,Open,Canada,Cloud VM,SIEM,663
185,2026-02-10,user169,Ransomware,Medium,Open,Singapore,Cloud VM,Firewall,23
186,2025-07-05,user159,Ransomware,Critical,Investigating,UAE,Desktop,Endpoint,145
187,2025-03-21,user40,DDoS,High,Open,Netherlands,Cloud VM,Identity Provider,544
188,2025-01-20,user339,Insider Threat,High,Closed,Japan,Mobile,Endpoint,171
189,2025-04-03,user426,Ransomware,High,Open,Singapore,Server,Identity Provider,248
190,2025-08-16,user313,DDoS,High,Escalated,Germany,Cloud VM,Endpoint,321
191,2026-02-19,user402,Brute Force,Critical,Closed,Australia,Cloud VM,SIEM,477
192,2026-01-29,user145,Data Exfiltration,Medium,Escalated,UK,Desktop,Web Gateway,146
193,2025-05-09,user27,Brute Force,High,Open,Netherlands,Laptop,Firewall,90
194,2026-01-26,user83,DDoS,Medium,Closed,Singapore,Laptop,Endpoint,466
195,2025-06-28,user477,Phishing,Medium,Escalated,Netherlands,Server,Endpoint,400
196,2025-02-11,user192,Credential Attack,Low,Open,Australia,Desktop,Endpoint,44
197,2025-05-27,user470,Brute Force,Medium,Closed,UAE,Mobile,Web Gateway,10
198,2025-02-10,user10,DDoS,Low,Closed,Netherlands,Cloud VM,Web Gateway,438
199,2025-02-26,user398,DDoS,Low,Open,India,Desktop,SIEM,659
200,2026-02-11,user319,Brute Force,Low,Escalated,Japan,Cloud VM,Email,652
201,2025-09-21,user295,Credential Attack,High,Investigating,Singapore,Laptop,Web Gateway,366
202,2025-05-04,user293,Data Exfiltration,Low,Open,Netherlands,Server,Email,543
203,2025-10-06,user260,Phishing,Medium,Escalated,India,Mobile,Firewall,264
204,2026-01-18,user9,Insider Threat,High,Investigating,Germany,Laptop,Web Gateway,345
205,2025-03-10,user23,Insider Threat,Medium,Closed,UAE,Mobile,Identity Provider,191
206,2026-02-20,user70,Malware,High,Escalated,India,Server,Endpoint,49
207,2026-02-10,user103,Phishing,Low,Investigating,Netherlands,Mobile,Web Gateway,489
208,2025-05-10,user19,Credential Attack,Low,Open,Australia,Server,Email,381
209,2025-08-12,user456,Data Exfiltration,High,Escalated,Australia,Desktop,SIEM,713
210,2025-09-12,user189,DDoS,High,Escalated,USA,Mobile,Web Gateway,189
211,2025-10-07,user151,Insider Threat,Low,Investigating,Canada,Server,SIEM,622
212,2026-01-03,user219,Ransomware,Medium,Investigating,UAE,Laptop,Identity Provider,366
213,2025-11-11,user223,DDoS,Medium,Open,USA,Mobile,Firewall,530
214,2026-02-15,user384,Ransomware,Critical,Closed,Japan,Mobile,Email,134
215,2025-02-04,user121,Insider Threat,Medium,Open,Japan,Desktop,Identity Provider,465
216,2025-07-09,user191,Brute Force,High,Closed,Netherlands,Server,SIEM,326
217,2025-11-29,user143,Credential Attack,Critical,Open,UK,Mobile,Web Gateway,401
218,2025-10-15,user61,DDoS,High,Escalated,Germany,Cloud VM,Firewall,715
219,2025-09-09,user103,Malware,Low,Open,UAE,Desktop,Identity Provider,460
220,2025-02-14,user415,Insider Threat,Medium,Open,Netherlands,Cloud VM,Firewall,312
221,2025-03-22,user365,Ransomware,High,Closed,USA,Desktop,Endpoint,247
222,2026-02-09,user253,Phishing,Medium,Investigating,UAE,Cloud VM,Endpoint,631
223,2025-02-14,user34,DDoS,Medium,Escalated,Netherlands,Mobile,SIEM,593
224,2025-02-07,user65,Insider Threat,Medium,Escalated,UAE,Cloud VM,Firewall,136
225,2026-02-04,user283,Ransomware,High,Closed,Singapore,Cloud VM,Email,132
226,2025-09-23,user79,DDoS,Low,Investigating,Germany,Server,Web Gateway,295
227,2025-02-10,user129,Credential Attack,Medium,Investigating,UK,Server,Web Gateway,551
228,2025-02-17,user258,Ransomware,Medium,Closed,UK,Cloud VM,Identity Provider,624
229,2025-06-22,user432,Phishing,High,Open,USA,Laptop,Identity Provider,595
230,2025-05-16,user334,Credential Attack,High,Escalated,Japan,Laptop,SIEM,647
231,2025-10-07,user149,DDoS,Medium,Escalated,Canada,Mobile,Email,710
232,2025-01-31,user81,Brute Force,Medium,Escalated,Germany,Server,Web Gateway,152
233,2025-06-10,user442,Insider Threat,High,Investigating,Singapore,Desktop,Firewall,532
234,2025-10-15,user55,Insider Threat,Low,Open,Canada,Mobile,Endpoint,149
235,2025-02-19,user26,DDoS,Critical,Escalated,Germany,Desktop,Firewall,596
236,2026-01-05,user161,Credential Attack,High,Escalated,Netherlands,Mobile,SIEM,320
237,2025-09-12,user12,Malware,Critical,Escalated,Germany,Desktop,Web Gateway,366
238,2025-01-25,user26,DDoS,Medium,Escalated,Canada,Cloud VM,Email,115
239,2025-08-09,user69,DDoS,High,Escalated,Australia,Laptop,SIEM,57
240,2025-10-19,user288,Credential Attack,Medium,Investigating,USA,Mobile,Web Gateway,466
241,2026-01-27,user282,DDoS,High,Open,UK,Laptop,SIEM,387
242,2026-02-11,user174,Insider Threat,High,Closed,Japan,Cloud VM,SIEM,517
243,2025-01-21,user24,Phishing,Low,Investigating,UAE,Cloud VM,SIEM,157
244,2025-11-07,user458,Ransomware,Low,Investigating,UK,Mobile,Web Gateway,311
245,2025-10-31,user173,Brute Force,High,Investigating,UAE,Laptop,Firewall,344
246,2025-12-11,user57,Data Exfiltration,Medium,Open,Japan,Mobile,Firewall,676
247,2026-02-05,user498,Credential Attack,High,Escalated,UK,Cloud VM,Identity Provider,639
248,2026-02-01,user431,Data Exfiltration,Low,Closed,India,Cloud VM,Identity Provider,117
249,2025-04-08,user10,Brute Force,Low,Closed,Singapore,Desktop,SIEM,518
250,2026-02-01,user314,Brute Force,High,Open,UK,Cloud VM,Endpoint,579
251,2025-06-16,user340,Brute Force,Medium,Investigating,UK,Mobile,Web Gateway,355
252,2025-10-07,user182,DDoS,Medium,Closed,Germany,Server,Web Gateway,310
253,2025-04-26,user483,DDoS,High,Closed,UAE,Server,SIEM,362
254,2025-10-14,user479,DDoS,Low,Escalated,Singapore,Server,Endpoint,302
255,2025-01-22,user148,Malware,Low,Escalated,Canada,Mobile,Endpoint,211
256,2025-10-03,user139,DDoS,Low,Closed,Germany,Laptop,Identity Provider,548
257,2025-04-26,user327,Credential Attack,Low,Escalated,Australia,Mobile,Email,702
258,2026-01-30,user71,Phishing,Critical,Closed,Singapore,Mobile,SIEM,671
259,2025-04-13,user388,DDoS,Low,Open,USA,Cloud VM,Endpoint,552
260,2026-01-14,user371,Phishing,Critical,Closed,Singapore,Desktop,Email,411
261,2026-02-08,user254,Ransomware,Critical,Investigating,India,Laptop,Firewall,586
262,2025-11-05,user55,Insider Threat,Low,Escalated,UK,Cloud VM,SIEM,284
263,2025-04-09,user415,Malware,Low,Escalated,Canada,Desktop,Email,350
264,2026-02-09,user152,Credential Attack,Low,Escalated,Singapore,Cloud VM,Firewall,93
265,2025-07-25,user343,Malware,Low,Closed,UAE,Server,Endpoint,11
266,2025-05-14,user197,Credential Attack,Medium,Investigating,Australia,Server,Web Gateway,591
267,2025-01-06,user134,Insider Threat,Medium,Open,USA,Mobile,Firewall,168
268,2025-07-27,user352,DDoS,Medium,Investigating,Australia,Cloud VM,Endpoint,229
269,2025-03-10,user245,Ransomware,Medium,Investigating,Singapore,Cloud VM,SIEM,555
270,2026-02-15,user341,Credential Attack,High,Open,Netherlands,Mobile,Web Gateway,375
271,2025-02-09,user470,Malware,Low,Closed,Japan,Cloud VM,Endpoint,173
272,2025-06-17,user438,Brute Force,Low,Closed,Japan,Mobile,Email,527
273,2025-08-17,user415,Phishing,Medium,Escalated,UAE,Cloud VM,Email,577
274,2025-08-25,user345,DDoS,High,Escalated,Canada,Laptop,Identity Provider,228
275,2025-10-24,user38,Phishing,Medium,Open,Netherlands,Laptop,Email,488
276,2025-01-17,user147,Data Exfiltration,Low,Closed,Singapore,Server,SIEM,464
277,2025-07-13,user193,Malware,Medium,Closed,Australia,Laptop,Endpoint,555
278,2025-07-21,user271,Ransomware,High,Closed,India,Laptop,Firewall,479
279,2025-12-11,user369,Data Exfiltration,Medium,Closed,Germany,Mobile,Firewall,163
280,2025-05-22,user97,Malware,Low,Escalated,Japan,Laptop,Endpoint,216
281,2025-02-04,user52,Phishing,Medium,Open,Germany,Laptop,SIEM,454
282,2025-04-30,user277,Credential Attack,High,Open,UK,Cloud VM,Firewall,244
283,2026-02-22,user470,Insider Threat,Medium,Investigating,Germany,Server,Endpoint,681
284,2025-09-24,user114,Data Exfiltration,Low,Open,Netherlands,Cloud VM,Identity Provider,184
285,2025-11-17,user348,Data Exfiltration,Medium,Open,Australia,Mobile,Web Gateway,331
286,2025-12-23,user214,Data Exfiltration,Low,Escalated,UK,Cloud VM,SIEM,251
287,2025-04-26,user154,Ransomware,High,Open,Netherlands,Mobile,SIEM,575
288,2025-09-29,user69,Data Exfiltration,Low,Closed,Australia,Laptop,SIEM,384
289,2025-02-17,user275,Credential Attack,Low,Escalated,Japan,Cloud VM,Email,79
290,2025-04-07,user412,Credential Attack,Medium,Investigating,Canada,Laptop,Endpoint,199
291,2026-01-15,user61,Brute Force,Critical,Closed,Singapore,Desktop,Web Gateway,334
292,2026-02-02,user145,Data Exfiltration,Medium,Investigating,Canada,Server,Firewall,530
293,2025-09-12,user239,Malware,High,Escalated,Australia,Desktop,Firewall,325
294,2025-07-31,user24,Credential Attack,High,Open,Canada,Cloud VM,Web Gateway,598
295,2026-01-04,user214,DDoS,Low,Investigating,Germany,Mobile,Web Gateway,256
296,2025-09-13,user282,Insider Threat,Low,Escalated,UAE,Mobile,Endpoint,365
297,2025-03-28,user72,Brute Force,Low,Open,Netherlands,Laptop,Email,689
298,2025-01-25,user392,Phishing,Medium,Closed,USA,Desktop,Email,228
299,2025-09-16,user234,Insider Threat,Low,Escalated,UAE,Laptop,Email,549
300,2025-10-10,user211,Phishing,Low,Investigating,Netherlands,Server,Email,519
301,2026-02-21,user358,Data Exfiltration,High,Closed,USA,Laptop,Web Gateway,157
302,2025-05-04,user99,DDoS,High,Investigating,Singapore,Laptop,Firewall,420
303,2025-08-24,user290,Credential Attack,Critical,Closed,Canada,Laptop,Identity Provider,670
304,2026-01-24,user17,Malware,Medium,Escalated,Netherlands,Mobile,Email,657
305,2025-01-05,user360,Ransomware,Low,Escalated,Australia,Cloud VM,Email,545
306,2025-01-22,user118,Credential Attack,Critical,Escalated,Canada,Laptop,Email,705
307,2025-05-24,user461,Phishing,Low,Investigating,India,Desktop,Web Gateway,152
308,2026-01-21,user421,Data Exfiltration,Critical,Investigating,UK,Cloud VM,Endpoint,585
309,2025-07-19,user347,Insider Threat,Medium,Closed,USA,Cloud VM,Identity Provider,359
310,2025-01-28,user51,Data Exfiltration,Low,Open,Australia,Cloud VM,Web Gateway,614
311,2025-07-23,user497,Insider Threat,Low,Investigating,UAE,Mobile,Endpoint,369
312,2025-10-11,user482,Data Exfiltration,Medium,Escalated,USA,Cloud VM,Firewall,257
313,2026-01-01,user38,Malware,Low,Escalated,UK,Mobile,Firewall,374
314,2025-02-24,user47,Phishing,Critical,Escalated,Australia,Server,Email,140
315,2025-02-14,user96,Data Exfiltration,Medium,Escalated,USA,Laptop,Email,367
316,2025-10-11,user48,Insider Threat,High,Open,Canada,Mobile,SIEM,91
317,2026-01-07,user462,Credential Attack,Medium,Closed,Singapore,Desktop,Endpoint,280
318,2025-06-04,user138,Brute Force,Low,Closed,Singapore,Server,SIEM,311
319,2025-09-05,user401,Malware,Medium,Closed,UAE,Cloud VM,Web Gateway,205
320,2025-08-23,user55,Ransomware,Low,Escalated,Australia,Cloud VM,SIEM,342
321,2025-08-14,user172,Data Exfiltration,High,Closed,Canada,Server,Web Gateway,716
322,2025-04-13,user246,Insider Threat,Low,Escalated,Australia,Server,Identity Provider,716
323,2025-11-21,user252,Credential Attack,Low,Investigating,Singapore,Server,Email,582
324,2025-04-13,user304,Ransomware,Medium,Open,UAE,Desktop,SIEM,303
325,2025-12-21,user36,Data Exfiltration,Medium,Closed,Canada,Desktop,Firewall,679
326,2025-03-20,user367,Data Exfiltration,High,Open,UAE,Cloud VM,SIEM,601
327,2025-07-25,user274,Data Exfiltration,Medium,Investigating,Netherlands,Cloud VM,Identity Provider,92
328,2025-02-25,user394,Credential Attack,Medium,Investigating,UK,Cloud VM,Email,581
